,code,name,times_4,net40,net41
168,002307,北新路桥,1.58,2540.26,4015.22
169,600858,银座股份,0.37,6013.38,2207.58
170,000559,万向钱潮,4.79,17399.32,83380.66
171,601588,北辰实业,1.79,33517.36,60058.54
172,600879,航天电子,2.23,21434.46,47837.31
173,002136,安 纳 达,2.02,2106.94,4251.11
174,000622,*ST恒立,4.73,1014.46,4799.91
175,600757,长江传媒,-1.02,-57849.47,59217.13
176,000503,海虹控股,1.03,2718.66,2802.12
177,002262,恩华药业,18.24,1698.31,30974.3
178,600130,波导股份,1.01,3058.48,3080.75
179,002235,安妮股份,0.56,2077.73,1165.95
180,600620,天宸股份,3.87,1553.67,6018.52
181,002003,伟星股份,4.52,6542.93,29547.54
182,002318,久立特材,3.56,4717.32,16776.67
183,600585,海螺水泥,5.97,142793.06,852991.68
184,601618,中国中冶,4.11,130772.77,537585.8
185,600353,旭光股份,3.56,1224.72,4357.53
186,002034,美 欣 达,0.93,2170.15,2019.79
187,600383,金地集团,14.15,44528.56,630046.07
188,600525,长园集团,6.33,10111.73,64005.76
189,600012,皖通高速,1.25,74930.25,93325.76
190,000792,盐湖股份,0.42,81192.92,34126.47
191,000666,经纬纺机,2.97,18363.07,54455.25
192,002058,威 尔 泰,0.67,780.18,524.34
193,000151,中成股份,2.09,4831.27,10087.99
194,600320,振华重工,0.13,160247.21,21241.99
195,000703,恒逸石化,357.01,232.58,83033.74
196,000035,中国天楹,9.87,2144.16,21172.45
197,600633,浙数文化,150.99,405.08,61163.22
198,600693,东百集团,2.33,4338.15,10104.67
199,002148,北纬通信,2.5,3149.87,7883.05
200,601901,方正证券,10.19,25218.06,256933.69
201,600189,吉林森工,0.18,6558.32,1171.52
202,300015,爱尔眼科,38.2,1459.15,55746.72
203,000565,渝三峡Ａ,34.96,639.28,22348.12
204,000603,盛达矿业,15.58,1297.18,20209.71
205,600668,尖峰集团,-3.77,-7564.86,28522.95
206,002020,京新药业,20.2,1049.12,21194.63
207,600753,东方银星,1.16,225.31,262.29
208,600338,西藏珠峰,604.27,107.61,65025.7
209,601390,中国中铁,7.6,164628.2,1250916.5
210,002214,大立科技,1.44,2299.0,3310.87
211,600377,宁沪高速,2.97,112778.14,334606.39
212,002218,拓日新能,1.9,6770.64,12871.21
213,000598,兴蓉环境,86.25,1013.53,87421.51
214,000591,太阳能,38.69,1688.39,65324.93
215,000928,中钢国际,76.31,671.45,51241.29
216,601318,中国平安,10.42,598596.2,6239400.0
217,002230,科大讯飞,13.78,3514.88,48443.04
218,600816,安信信托,-49.59,-6117.56,303394.74
219,600678,四川金顶,-1.21,2333.69,-2824.68
220,000333,美的集团,22.88,64178.1,1468435.7
221,002186,全 聚 德,2.46,5666.04,13958.98
222,600141,兴发集团,2.43,4193.48,10201.76
223,002289,*ST宇顺,1.83,1634.66,2985.5
224,600455,博通股份,-1.44,695.02,-999.03
