,code,name,times_3,times_4,net30,net40,net31,net41
118,600270,外运发展,4.41,1.59,22907.8,62779.63,101029.03,99525.17
119,600228,*ST昌九,0.29,-4.13,-8407.19,897.75,-2459.65,-3709.08
120,600276,恒瑞医药,3.26,6.12,66573.09,42294.71,217157.15,258895.21
121,000545,金浦钛业,-8.38,36.35,-1564.84,332.29,13118.22,12080.38
122,002196,方正电机,13.44,6.96,439.13,1700.65,5903.73,11829.02
123,000519,中兵红箭,67.43,-4.97,368.58,-2771.23,24855.01,13765.02
124,600185,格力地产,5.83,-2.15,23516.55,-27912.24,137076.5,60064.73
125,002087,新野纺织,3.82,5.37,3069.08,3864.04,11722.47,20745.52
126,300038,梅泰诺,1.23,2.73,4575.59,3955.16,5649.64,10810.48
127,601311,骆驼股份,3.51,6.88,17360.77,7487.91,60948.97,51533.93
128,002265,西仪股份,-1.69,0.21,1841.41,3273.63,-3118.48,701.26
129,000831,五矿稀土,0.56,-0.04,-71210.23,-49802.38,-39782.0,1858.91
130,600099,林海股份,1.06,0.46,223.42,420.03,236.03,193.4
131,002641,永高股份,1.7,3.02,15215.93,7104.76,25941.19,21484.74
132,600495,晋西车轴,2.77,0.36,3636.24,7584.71,10080.95,2694.31
133,002192,融捷股份,0.43,0.36,2079.86,1488.92,890.4,530.54
134,000856,冀东装备,-13.78,-0.14,1474.33,-16309.61,-20310.99,2312.46
135,002626,金达威,2.15,9.39,5246.45,3191.73,11257.3,29976.79
136,601901,方正证券,2.93,2.99,138542.46,85912.26,406421.2,256933.69
137,002272,川润股份,-1.12,0.29,6050.35,5027.98,-6786.59,1454.82
138,002510,天汽模,2.1,2.42,7835.96,6208.21,16417.08,15004.1
139,002167,东方锆业,-9.17,1.0,3016.28,2533.19,-27666.39,2544.48
140,300061,康耐特,2.39,7.41,2139.62,1465.4,5121.33,10852.47
141,002506,协鑫集成,3.76,-0.31,17000.21,8612.93,63850.22,-2691.16
142,600118,中国卫星,1.96,2.26,19588.86,17557.86,38349.77,39766.43
143,002217,合力泰,2.72,5.75,8007.6,15187.75,21810.58,87379.46
144,002313,日海通讯,-0.4,1.9,7254.21,3551.31,-2894.76,6746.58
145,000633,合金投资,-11.18,-3.33,377.54,-793.15,-4222.4,2640.71
146,000783,长江证券,2.55,3.14,137200.15,70162.72,349336.52,220657.6
147,002282,博深工具,0.12,0.23,5664.55,5530.6,659.67,1248.45
148,600246,万通地产,-2.23,0.21,27459.1,52743.64,-61222.03,11030.67
149,300069,金利华电,0.44,1.47,2371.71,1619.51,1054.74,2388.59
150,002172,澳洋科技,0.84,-0.93,16110.58,-27886.29,13586.23,25924.22
151,000536,华映科技,18.67,60.91,813.9,649.57,15196.25,39566.97
152,300035,中科电气,0.32,0.56,4752.03,4074.65,1532.64,2271.72
153,002361,神剑股份,3.05,5.61,3826.57,3010.93,11683.25,16891.43
154,002437,誉衡药业,5.2,6.76,13023.51,10595.09,67701.78,71664.83
155,600133,东湖高新,1.99,4.72,7121.73,3086.64,14200.92,14562.05
156,002512,达华智能,3.12,4.16,4131.56,3826.14,12878.11,15911.14
157,002019,亿帆医药,11.87,17.09,3036.96,4123.7,36057.35,70476.27
158,000795,英洛华,-6.79,-0.18,853.59,-18937.67,-5795.43,3458.08
