,code,times_jan,times_mar,jan0,mar0,jan1,mar1
801,000611,3.02,1.83,2.77,8.36,5.48,10.05
802,000612,3.09,1.6,3.72,11.5,6.35,10.16
803,000615,6.88,4.18,1.53,10.53,3.06,12.78
804,000616,2.81,1.9,1.87,5.26,2.64,5.01
805,000619,1.82,1.05,6.65,12.13,11.87,12.42
806,000623,3.45,2.47,8.92,30.81,12.17,30.03
807,000625,6.6,3.47,2.28,15.04,4.45,15.42
808,000627,5.54,3.06,1.41,7.81,2.45,7.49
809,000628,4.44,1.82,3.34,14.82,7.65,13.9
810,000629,1.1,0.78,2.16,2.38,3.27,2.55
811,000630,2.91,1.72,1.08,3.14,1.83,3.15
812,000632,3.3,1.58,2.56,8.45,5.51,8.68
813,000636,3.38,1.56,3.0,10.14,6.84,10.64
814,000639,16.23,9.44,1.44,23.37,2.52,23.78
815,000651,-7.9,-12.35,-3.15,24.88,-2.43,30.01
816,000652,1.52,0.55,3.69,5.6,10.49,5.8
817,000655,2.75,1.14,3.53,9.71,8.04,9.18
818,000656,4.12,2.03,1.26,5.19,2.74,5.56
819,000657,1.52,1.07,9.6,14.62,13.69,14.7
820,000662,3.17,1.98,6.63,21.05,9.44,18.72
821,000663,3.59,1.9,4.66,16.74,7.84,14.9
822,000665,3.84,2.36,3.73,14.33,6.2,14.64
823,000666,6.25,2.96,3.49,21.82,7.62,22.57
824,000667,3.57,1.14,1.04,3.71,3.26,3.72
825,000669,8.16,4.61,2.11,17.21,3.66,16.86
826,000671,23.13,12.45,0.24,5.55,0.44,5.48
827,000673,13.24,4.68,1.02,13.5,2.89,13.53
828,000677,3.98,1.79,1.82,7.25,3.39,6.08
829,000678,4.2,2.06,3.16,13.28,5.88,12.12
830,000679,8.85,3.48,1.61,14.25,3.71,12.9
831,000680,1.38,1.15,4.04,5.57,5.5,6.32
832,000681,5.93,3.13,3.23,19.16,6.3,19.75
833,000683,2.24,1.07,1.43,3.2,2.79,2.98
834,000685,11.31,3.93,0.98,11.08,2.76,10.85
835,000687,8.34,4.73,1.85,15.42,3.63,17.18
836,000688,8.97,3.79,1.02,9.15,2.43,9.2
837,000691,5.99,1.97,1.72,10.3,4.68,9.22
838,000692,5.44,2.78,1.19,6.47,2.34,6.5
839,000695,2.58,1.72,6.31,16.29,9.0,15.46
840,000698,1.87,1.27,4.15,7.78,6.42,8.13
841,000700,5.83,3.04,1.43,8.33,2.69,8.17
842,000701,2.9,1.89,5.33,15.45,7.66,14.51
843,000703,19.06,6.75,0.78,14.87,2.08,14.03
844,000705,6.98,4.29,1.86,12.99,3.0,12.88
845,000707,2.49,1.31,3.56,8.85,6.35,8.32
846,000708,3.23,1.66,3.97,12.82,7.61,12.63
847,000709,1.16,0.86,2.85,3.31,4.15,3.58
848,000710,18.3,10.14,2.85,52.15,6.3,63.88
849,000712,38.57,11.63,0.61,23.53,2.04,23.72
850,000713,3.5,1.88,3.34,11.69,5.73,10.78
851,000715,2.37,1.73,6.66,15.76,8.54,14.8
852,000717,1.65,1.02,3.53,5.82,5.72,5.85
853,000718,4.66,1.97,1.83,8.53,3.69,7.26
854,000720,2.47,1.13,2.65,6.55,5.6,6.31
855,000726,15.13,3.98,0.85,12.86,3.08,12.25
856,000729,1.74,1.38,4.03,7.01,5.33,7.37
857,000732,21.83,7.96,0.81,17.68,2.21,17.59
858,000733,3.91,2.33,4.61,18.02,8.08,18.82
859,000735,3.75,1.72,1.96,7.35,4.17,7.18
860,000737,3.04,1.65,2.51,7.62,4.4,7.28
861,000738,9.0,3.61,2.8,25.21,6.73,24.28
862,000739,3.71,2.82,2.05,7.61,3.08,8.69
863,000751,1.32,0.73,4.29,5.68,7.93,5.79
864,000752,3.4,2.24,4.98,16.92,6.99,15.69
865,000753,3.97,2.42,1.27,5.04,2.24,5.43
866,000755,1.42,0.64,5.82,8.25,12.35,7.88
867,000756,4.34,2.29,2.89,12.54,6.15,14.11
868,000758,2.61,1.58,3.09,8.05,5.32,8.38
869,000759,1.88,1.26,5.07,9.52,7.04,8.86
870,000760,4.08,2.19,2.66,10.84,4.54,9.95
871,000761,1.23,0.8,4.4,5.4,7.07,5.68
872,000762,2.46,1.86,6.98,17.15,9.13,16.96
873,000766,7.59,3.76,2.34,17.75,4.77,17.93
874,000767,0.82,0.51,4.72,3.86,7.38,3.8
875,000768,4.55,2.64,4.85,22.05,8.78,23.21
876,000777,6.16,3.28,3.66,22.54,7.19,23.55
877,000778,2.86,1.64,1.82,5.2,3.24,5.32
878,000780,1.75,1.05,3.33,5.82,5.29,5.57
879,000785,4.56,1.99,3.12,14.22,6.73,13.41
880,000786,9.17,4.39,1.13,10.36,2.77,12.17
881,000788,8.78,3.57,1.61,14.14,3.65,13.02
882,000789,5.87,3.08,1.36,7.98,3.01,9.27
883,000790,2.56,2.03,5.19,13.3,5.97,12.12
884,000791,4.67,1.33,2.57,12.0,8.44,11.22
885,000792,1.04,0.82,18.78,19.51,22.03,18.13
886,000793,1.37,0.95,8.26,11.34,11.15,10.59
887,000795,5.26,2.34,1.21,6.36,3.08,7.22
888,000796,4.3,1.78,3.55,15.25,8.6,15.28
889,000797,3.36,2.69,5.16,17.33,6.8,18.31
890,000798,4.66,2.48,2.56,11.94,5.23,12.95
891,000800,4.26,1.75,2.57,10.95,6.6,11.57
892,000801,7.95,4.92,1.35,10.73,2.36,11.62
893,000806,7.03,3.03,2.24,15.74,3.98,12.05
894,000807,1.75,1.18,3.77,6.61,6.11,7.2
895,000809,3.23,1.45,1.84,5.94,3.48,5.03
896,000810,5.86,3.49,2.4,14.07,3.93,13.72
897,000811,6.29,4.18,2.37,14.9,3.86,16.13
898,000812,6.46,3.22,1.87,12.08,3.7,11.93
899,000813,5.9,2.45,2.46,14.51,6.0,14.71
900,000815,5.31,2.7,3.82,20.28,6.79,18.3
901,000816,3.39,2.21,1.9,6.44,3.05,6.75
